"","teams","opponent","h1","h2","t","fieldGoal","threePoint","freeThrow","rebounds","offensiveRebounds","defensiveRebounds","assists","steals","blocks","totalTurnovers","fouls","technicalFouls","flagrantFouls","largestLead","line","favoredTeam","spread","teamsAlt","ot","covered","coverHist","favored","gameIndex","coverDiff","coverDiffHist","avgH1Hist","avgH2Hist","avgTHist","avgFieldGoalHist","avgThreePointHist","avgFreeThrowHist","avgReboundHist","avgOffensiveReboundsHist","avgDefensiveReboundsHist","avgAssistsHist","avgStealsHist","avgBlocksHist","avgTotalTurnoversHist","avgFoulsHist","avgSpreadHist"
"1","UNCW","UNC",-11,-2,-13,-16.5,5,-1.7,5,9,-4,-1,1,-5,2,6,0,0,-10,"Line: UNC -23.0","UNC",23,"UNC Wilmington Seahawks",NA,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","UNC","UNCW",11,2,13,16.5,-5,1.7,-5,-9,4,1,-1,5,-2,-6,0,0,10,"Line: UNC -23.0","UNC",-23,"North Carolina Tar Heels",NA,0,NA,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","UNF","GONZ",-30,-11,-41,-28.6,-15,-22.2,-11,2,-13,-9,-8,-1,8,-7,1,0,-40,"Line: GONZ -30.5","GONZ",30.5,"North Florida Ospreys",NA,0,NA,0,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","GONZ","UNF",30,11,41,28.6,15,22.2,11,-2,13,9,8,1,-8,7,-1,0,40,"Line: GONZ -30.5","GONZ",-30.5,"Gonzaga Bulldogs",NA,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","UNCO","HOU",-19,-28,-47,-18.8,-14.1,-11.2,-12,-11,-1,-11,-11,-3,15,-1,0,0,-47,"Line: HOU -23.5","HOU",23.5,"Northern Colorado Bears",NA,0,NA,0,3,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","HOU","UNCO",19,28,47,18.8,14.1,11.2,12,11,1,11,11,3,-15,1,0,0,47,"Line: HOU -23.5","HOU",-23.5,"Houston Cougars",NA,1,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","HOW","UK",-23,-9,-32,-20.5,-17.8,19.8,-5,3,-8,-10,-6,-4,6,7,0,0,-37,"Line: UK -25.0","UK",25,"Howard Bison",NA,0,NA,0,4,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","UK","HOW",23,9,32,20.5,17.8,-19.8,5,-3,8,10,6,4,-6,-7,0,0,37,"Line: UK -25.0","UK",-25,"Kentucky Wildcats",NA,1,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MVSU","BAY",-40,-24,-64,-18.7,-18.1,-5.3,-24,-13,-11,-14,-5,-6,16,4,0,0,-65,"Line: BAY -44.5","BAY",44.5,"Mississippi Valley State Delta Devils",NA,0,NA,0,5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BAY","MVSU",40,24,64,18.7,18.1,5.3,24,13,11,14,5,6,-16,-4,0,0,65,"Line: BAY -44.5","BAY",-44.5,"Baylor Bears",NA,1,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","OMA","KU",-13,-12,-25,-13.6,-17.1,25.6,-15,-8,-7,-14,-4,-4,4,-4,0,0,-26,"Line: KU -33.5","KU",33.5,"Omaha Mavericks",NA,1,NA,0,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","KU","OMA",13,12,25,13.6,17.1,-25.6,15,8,7,14,4,4,-4,4,0,0,26,"Line: KU -33.5","KU",-33.5,"Kansas Jayhawks",NA,0,NA,1,6,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
