Teams	1	2	T	Field Goal %	Three Point %	Free Throw %	Rebounds	Offensive Rebounds	Defensive Rebounds	Assists	Steals	Blocks	Total Turnovers	Fouls	Technical Fouls	Flagrant Fouls	Largest Lead	Line	Favored Team	Spread	Teams Alt	OT
UNCW	-11.0	-2.0	-13.0	-16.499999999999996	5.0	-1.7000000000000028	5.0	9.0	-4.0	-1.0	1.0	-5.0	2.0	6.0	0.0	0.0	-10.0	Line: UNC -23.0	UNC	23.0	UNC Wilmington Seahawks	
UNC	11.0	2.0	13.0	16.499999999999996	-5.0	1.7000000000000028	-5.0	-9.0	4.0	1.0	-1.0	5.0	-2.0	-6.0	0.0	0.0	10.0	Line: UNC -23.0	UNC	-23.0	North Carolina Tar Heels	
UNF	-30.0	-11.0	-41.0	-28.6	-15.000000000000004	-22.199999999999996	-11.0	2.0	-13.0	-9.0	-8.0	-1.0	8.0	-7.0	1.0	0.0	-40.0	Line: GONZ -30.5	GONZ	30.5	North Florida Ospreys	
GONZ	30.0	11.0	41.0	28.6	15.000000000000004	22.199999999999996	11.0	-2.0	13.0	9.0	8.0	1.0	-8.0	7.0	-1.0	0.0	40.0	Line: GONZ -30.5	GONZ	-30.5	Gonzaga Bulldogs	
UNCO	-19.0	-28.0	-47.0	-18.799999999999997	-14.099999999999998	-11.200000000000003	-12.0	-11.0	-1.0	-11.0	-11.0	-3.0	15.0	-1.0	0.0	0.0	-47.0	Line: HOU -23.5	HOU	23.5	Northern Colorado Bears	
HOU	19.0	28.0	47.0	18.799999999999997	14.099999999999998	11.200000000000003	12.0	11.0	1.0	11.0	11.0	3.0	-15.0	1.0	0.0	0.0	47.0	Line: HOU -23.5	HOU	-23.5	Houston Cougars	
HOW	-23.0	-9.0	-32.0	-20.5	-17.799999999999997	19.800000000000004	-5.0	3.0	-8.0	-10.0	-6.0	-4.0	6.0	7.0	0.0	0.0	-37.0	Line: UK -25.0	UK	25.0	Howard Bison	
UK	23.0	9.0	32.0	20.5	17.799999999999997	-19.800000000000004	5.0	-3.0	8.0	10.0	6.0	4.0	-6.0	-7.0	0.0	0.0	37.0	Line: UK -25.0	UK	-25.0	Kentucky Wildcats	
MVSU	-40.0	-24.0	-64.0	-18.699999999999996	-18.1	-5.300000000000004	-24.0	-13.0	-11.0	-14.0	-5.0	-6.0	16.0	4.0	0.0	0.0	-65.0	Line: BAY -44.5	BAY	44.5	Mississippi Valley State Delta Devils	
BAY	40.0	24.0	64.0	18.699999999999996	18.1	5.300000000000004	24.0	13.0	11.0	14.0	5.0	6.0	-16.0	-4.0	0.0	0.0	65.0	Line: BAY -44.5	BAY	-44.5	Baylor Bears	
